case_id,external_subject_numeric_id,external_slice_index,external_modality,donor_h5_path
synthetic_007501,93,67,flair,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_218_slice_59.h5
synthetic_007502,93,67,flair,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_227_slice_42.h5
synthetic_007503,93,68,flair,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_232_slice_58.h5
synthetic_007504,93,68,flair,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_256_slice_76.h5
synthetic_007505,94,2,flair,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_361_slice_125.h5
synthetic_007506,94,3,flair,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_102_slice_105.h5
synthetic_007507,94,4,flair,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_155_slice_122.h5
synthetic_007508,94,5,flair,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_72_slice_115.h5
synthetic_007509,94,6,flair,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_68_slice_71.h5
synthetic_007510,94,7,flair,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_76_slice_109.h5
synthetic_007511,94,8,flair,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_18_slice_76.h5
synthetic_007512,94,9,flair,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_42_slice_112.h5
synthetic_007513,94,10,flair,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_56_slice_99.h5
synthetic_007514,94,11,flair,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_72_slice_104.h5
synthetic_007515,94,12,flair,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_297_slice_108.h5
synthetic_007516,94,13,flair,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_23_slice_82.h5
synthetic_007517,94,14,flair,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_74_slice_62.h5
