case_id,external_subject_numeric_id,external_slice_index,external_modality,donor_h5_path
synthetic_003501,42,120,flair,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_117_slice_52.h5
synthetic_003502,42,120,flair,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_135_slice_68.h5
synthetic_003503,42,121,flair,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_98_slice_92.h5
synthetic_003504,42,121,flair,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_147_slice_66.h5
synthetic_003505,42,122,flair,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_105_slice_60.h5
synthetic_003506,42,122,flair,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_125_slice_92.h5
synthetic_003507,42,123,flair,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_97_slice_84.h5
synthetic_003508,42,123,flair,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_125_slice_114.h5
synthetic_003509,42,124,flair,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_140_slice_95.h5
synthetic_003510,42,124,flair,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_311_slice_116.h5
synthetic_003511,42,125,flair,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_114_slice_84.h5
synthetic_003512,42,125,flair,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_115_slice_92.h5
synthetic_003513,42,126,flair,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_98_slice_121.h5
synthetic_003514,42,126,flair,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_114_slice_88.h5
synthetic_003515,42,127,flair,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_98_slice_109.h5
synthetic_003516,42,127,flair,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_120_slice_108.h5
synthetic_003517,42,128,flair,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_98_slice_118.h5
synthetic_003518,42,128,flair,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_338_slice_102.h5
synthetic_003519,42,129,flair,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_355_slice_127.h5
synthetic_003520,42,130,flair,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_135_slice_128.h5
synthetic_003521,42,131,flair,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_136_slice_95.h5
